Dimension,TagSet,hasSynonym,Definition,hasUnit,hasAbbreviation,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion
Point>Sensor>HVAC>AHU>Fan,Supply Fan Air Flow Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>AHU>Fan,Supply Fan Piezoelectric Sensor,,,,,,,,,,
Point>Sensor>HVAC>CRAC,CRAC Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>CRAC,Humidity Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>CWS,Chilled Water Differential Pressure Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>CWS,Chilled Water Supply Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>CWS,Chilled Water Return Temperature Sensor,,,,,O,X,Jason,,,
Point>Sensor>HVAC>CWS,Chilled Water Supply Flow Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>CWS,Chilled Water Temperature Differential Sensor,,Difference between supply and return temperature,,,,,Bharath,,,
Point>Sensor>HVAC>CWS>Pump,Chilled Water Differential Pressure Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Exhaust,Exhaust Air Flow Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>Exhaust,Exhaust Air Stack Flow Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Exhaust,Exhaust Air Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>Exhaust,Exhaust Air Velocity Pressure Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Exhaust,Exhaust Fan Piezoelectric Sensor,,,,,,,Josh,,,
Point>Sensor>HVAC>Exhaust,Average Exhaust Air Static Pressure Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Exhaust,Exhaust Air Static Pressure Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Exhaust,Lowest Exhaust Air Static Pressure Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Fan,Fan Air Flow Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>Filter,Filter Differential Pressure Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>HWS,Heat Exchanger Supply Water Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>HWS,High Temperature Hot Water Return Temperature Sensor,,,,,,,,,,
Point>Sensor>HVAC>HWS,High Temperature Hot Water Supply Temperature Sensor,,,,,,,,,,
Point>Sensor>HVAC>HWS,Hot Water Differential Pressure Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>HWS,Hot Water Supply Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>HWS,Hot Water Return Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>HWS,Medium Temperature Hot Water Return Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>HWS,Medium Temperature Hot Water Supply Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>HWS,Medium Temperature Water Pressure Sensor,,,,,,,,,,
Point>Sensor>HVAC>Laboratory,Cold Box Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Laboratory,Environment Box Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Laboratory,Freezer Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>Laboratory,Hot Box Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>VAV,Booster Fan Air Flow Sensor,,,,,,,,,,
Point>Sensor>HVAC>VAV,Damper Position Sensor,,,,,O,X,Jason,,,
Point>Sensor>HVAC>VAV,Discharge Air Flow Sensor,Supply Air Flow Sensor,Discharge Air Flow Sensor,,,,,,,,
Point>Sensor>HVAC>VAV,Discharge Air Velocity Pressure Sensor,Supply Air Velocity Pressure Sensor,,,,,,Bharath,,,
Point>Sensor>HVAC>VAV,Room Temperature Sensor,,Room Temperature Sensor,,,,,,,,
Point>Sensor>HVAC>VAV,Zone Temperature Sensor,,Temperature sensor in the thermostat to measure the actual zone temperature,,,,,,,,
Point>Sensor>HVAC>VAV,CO2 Sensor,CO2 Level Sensor,,,,O,X,Jason,,,
Point>Sensor>HVAC>VAV,Damper Position Sensor,,,,,,,,,,
Point>Sensor>HVAC>VAV,Discharge Air Temperature Sensor,Discharge Air Temperature Sensor,,,,,,,,,
Point>Sensor>HVAC>VAV,Discharge Air Velocity Pressure Sensor,,,,,,,,,,
Point>Sensor>HVAC>VAV,Occupancy Sensor,,,,,O,X,Jason,,,
Point>Sensor>HVAC>VAV,Thermostat Adjust Sensor,Warm Cool Adjust Sensor,User's delta command to control temperature setpoint in thermostat,,,O,X,Jason,,,
Point>Sensor>HVAC>VFD,DC Bus Voltage Sensor,,Voltage measured on the communication/control lines,,,O,X,Bharath,,,
Point>Sensor>HVAC>VFD,Drive Temperature Sensor,,Measures VFD temperature,,,O,X,Bharath,,,
Point>Sensor>HVAC>VFD,Energy Sensor,,,,,O,X,Bharath,,,
Point>Sensor>HVAC>VFD,Motor Current Sensor,Load Current Sensor,Measured current,,,O,X,Bharath,,,
Point>Sensor>HVAC>VFD,Motor Power Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>VFD,Motor Speed Sensor,,,,,,,Jason,,,
Point>Sensor>HVAC>VFD,Motor Torque Sensor,,Measured torque,,,O,X,Bharath,,,
Point>Sensor>HVAC>VFD,Output Frequency Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>VFD,Output Voltage Sensor,,,,,,,Bharath,,,
Point>Sensor>HVAC>VFD,Run Time Sensor,Running Hour Sensor,,,,,,,,,
Point>Sensor>Lighting,Luminance Sensor,,,,,,,,,,
Point>Sensor>Water,Deionised Water Conductivity Sensor,,,,,,,Bharath,,,
Point>Sensor>Water,Water Supply Temperature Sensor,,,,,,,Jason,,,
Point>Sensor>Water,Deionised Water Level Sensor,DI Water Level Sensor,,,,,,Bharath,,,
Point>Sensor>Water>DHWS,Domestic Hot Water Supply Temperature Sensor,,,,,,,Bharath,,,
Point>Sensor>Weather,Outside Enthalpy Sensor,,,,,,,Bharath,,,
Point>Sensor>Weather,Relative Humidity Sensor,,,,,,,Bharath,,,
Point>Sensor>Weather,Solar Radiance Sensor,,,,,,,Jason,,,
Point>Sensor>Weather,Wind Direction Sensor,,,,,,,Jason,,,
Point>Sensor>Weather,Wind Speed Sensor,,,,,,,Jason,,,
Point>Sensor>Weather,Hail Sensor,,,,,,,,,,
Point>Sensor>Weather,Solar Radiance Sensor,,,,,,,,,,
Point>Sensor>Weather,Rain Sensor,,,,,,,,,,
Point>Sensor>Weather,Rain Duration Sensor,,,,,,,,,,
Point>Setpoint>Energy>Demand Response,Chilled Water Differential Pressure Load Shed Setpoint,,,,,,,Bharath,,,
Point>Setpoint>Energy>Demand Response,Medium Temperature Hot Water Differential Pressure Load Shed Setpoint,,,,,,,Bharath,,,
Point>Setpoint>Energy>Demand Response,Medium Temperature Hot Water Supply Temperature Load Shed Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,AHU Auto Cooling Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,AHU Current Cooling Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,Building Static Pressure Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>AHU,Cooling Discharge Air Temperature Dead Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Cooling Discharge Air Temperature Integral Time Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Cooling Discharge Air Temperature Proportional Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Cooling Request Percent Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,Discharge Air Static Pressure Dead Band Setpoint,Supply Air Static Pressure Dead Band Setpoint,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Discharge Air Static Pressure Increase Decrease Step Setpoint,Supply Air Static Pressure Increase Decrease Step Setpoint,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Discharge Air Static Pressure Integral Time Setpoint,Supply Air Static Pressure Integral Time Setpoint,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Discharge Air Static Pressure Proportional Band Setpoint,Supply Air Static Pressure Proportional Band Setpoint,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Discharge Air Static Pressure Setpoint,Supply Air Static Pressure Setpoint,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Discharge Air Temperature Dead Band Setpoint,Supply Air Temperature Dead Band Setpoint,,,,,,,,,
Point>Setpoint>HVAC>AHU,Discharge Air Temperature Integral Time Setpoint,Supply Air Temperature Integral Time Setpoint,,,,,,,,,
Point>Setpoint>HVAC>AHU,Discharge Air Temperature Proportional Band Setpoint,Supply Air Temperature Proportional Band Setpoint,,,,,,,,,
Point>Setpoint>HVAC>AHU,Discharge Air Temperature Reset Differential Setpoint,Supply Air Temperature Reset Differential Setpoint,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Discharge Air Temperature Setpoint,Supply Air Temperature Setpoint,,,,,,Jason,,,
Point>Setpoint>HVAC>AHU,Discharge Air Temperature Setpoint Increase Decrease Step,Supply Air Temperature Setpoint Increase Decrease Step,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,DualBand Mode Setpoint,,virtual point used for controls,,,,,Marco,,,
Point>Setpoint>HVAC>AHU,Economizer Differential Air Temperature Setpoint,,Difference between return air flow and outside air flow,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Economizer Discharge Air Temperature Dead Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Economizer Discharge Air Temperature Proportional Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Economizer Outside Air Flow Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Heat Request Percent Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,Heating Discharge Air Temperature Dead Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Heating Discharge Air Temperature Integral Time Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Heating Discharge Air Temperature Proportional Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Low Outside Air Temperature Enable Setpoint,,"Temperature at which outside air is ""Low""",,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Max Discharge Air Static Pressure Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Max Discharge Air Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Max Return Air CO2 Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,Max VFD Speed Setpoint,,Max VFD Speed To Increase Static Pressure Setpoint,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Min Discharge Air Static Pressure Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Min VFD Speed Setpoint,,Min VFD Speed To Increase Static Pressure Setpoint,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Mixed Air Temperature Setpoint,,,,,,,Marco,,,
Point>Setpoint>HVAC>AHU,Outside Air Damper Min Position Setpoint,Economizer Damper Min Position Setpoint,Part of economizer to ensure minimum air flow,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Outside Air Lockout Temperature Setpoint,,Temperature at which chiller stops cooling because outside air is too cold already,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Outside Air Temperature High Reset Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Outside Air Temperature Low Reset Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Outside Min Air Flow Setpoint,,,,,,,Jason,,,
Point>Setpoint>HVAC>AHU,Preheat Demand Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,Return Supply Fan Differential Speed Setpoint,Return Fan Differential Speed Setpoint,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Static Pressure Max Setpoint,,Max Static Pressure in the supply duct (per Design),,,,,Marco,,,
Point>Setpoint>HVAC>AHU,Static Pressure Min Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>AHU,Unoccupied Mode Setpoint,,virtual point used for controls,,,,,Marco,,,
Point>Setpoint>HVAC>AHU,VAV Cooling Request Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,VAV Heat Request Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,Zone Temperature High Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>AHU,Zone Temperature Low Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Differential Pressure Dead Band Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Differential Pressure Increase Decrease Step Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Differential Pressure Integral Time Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Differential Pressure Proportional Band Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Differential Pressure Setpoint,,,,,O,X,Jason,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Pressure Setpoint,,,,,,,Jason,,,
Point>Setpoint>HVAC>CWS>Pump,Max Chilled Water Differential Pressure Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>CWS>Pump,Min Chilled Water Differential Pressure Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Pump Alarm Delay Setpoint,,,,,,,Jason,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Pump Differential Pressure Dead Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Pump Differential Pressure Integration Time Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>CWS>Pump,Chilled Water Pump Differential Pressure Proportional Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Air Stack Flow Dead Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Air Stack Flow Integral Time Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Air Stack Flow Proportional Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Air Stack Flow Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Air Static Pressure Dead Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Air Static Pressure Integral Time Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Air Static Pressure Proportional Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Air Static Pressure Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>Exhaust,Exhaust Fan Air Flow Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Enable Hot Water System Outside Air Temperature Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Hot Water Differential Pressure Dead Band Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Hot Water Differential Pressure Integral Time Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Hot Water Differential Pressure Proportional Band Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Hot Water Differential Pressure Setpoint,,,,,,,Jason,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Hot Water Static Pressure Setpoint,,,,,,,Jason,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Medium Temperature Hot Water Discharge Temperature High Reset Setpoint,,,,,,,Jason,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Medium Temperature Hot Water Discharge Temperature Low Reset Setpoint,,,,,,,Jason,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Open Heating Valve Outside Air Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Disable Hot Water System Outside Air Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Heat Exchanger Supply Water Temperature Dead Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Heat Exchanger Supply Water Temperature Integral Time Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Heat Exchanger Supply Water Temperature Proportional Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>HWS>Heat Exchanger,Heat Exchanger Supply Water Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Cooling Max Discharge Air Flow Setpoint,Cooling Max Supply Air Flow Setpoint,,,,O,X,Jason,,,
Point>Setpoint>HVAC>VAV,Cooling Min Discharge Air Flow Setpoint,Cooling Min Supply Air Flow Setpoint,,,,,,,,,
Point>Setpoint>HVAC>VAV,Discharge Air Flow Setpoint,Supply Air Flow Setpoint,,,,O,X,Jason,,,
Point>Setpoint>HVAC>VAV,Effective Cooling Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Effective Heating Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Heating Discharge Air Flow Setpoint,,,,,,,Jason,,,
Point>Setpoint>HVAC>VAV,Heating Max Discharge Air Flow Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>VAV,Heating Min Discharge Air Flow Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>VAV,Occupied Cooling Discharge Air Flow Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Occupied Cooling Max Discharge Air Flow Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Occupied Cooling Min Discharge Air Flow Setpoint,Occupied Cooling Min Supply Air Flow Setpoint,,,,O,X,Jason,,,
Point>Setpoint>HVAC>VAV,Occupied Cooling Temperature Dead Band Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>VAV,Occupied Heating Discharge Air Flow Setpoint,Occupied Heating Supply Air Flow Setpoint,,,,O,X,Jason,,,
Point>Setpoint>HVAC>VAV,Occupied Heating Max Discharge Air Flow Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Occupied Heating Min Discharge Air Flow Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Occupied Heating Temperature Dead Band Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>VAV,Room Temperature Setpoint,,,Fahrenheit,,,,,,,
Point>Setpoint>HVAC>VAV,Schedule Setpoint,,,,,,,Josh,,,
Point>Setpoint>HVAC>VAV,Unoccupied Cooling Discharge Air Flow Setpoint,,,,,,,,,,
Point>Setpoint>HVAC>VAV,Unoccupied Cooling Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Unoccupied Heating Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>HVAC>VAV,Zone Temperature Setpoint,,A temperature setpoint in charge of a zone.,Fahrenheit,,O,X,Jason,,,
Point>Setpoint>HVAC>VFD,Acceleration Time Setpoint,,Setpoint for acceleration,,,O,X,Bharath,,,
Point>Setpoint>HVAC>VFD,Current Limit Setpoint,,Setpoint for max current consumed by VFD,,,O,X,Bharath,,,
Point>Setpoint>HVAC>VFD,Deceleration Time Setpoint,,Setpoint for deceleration,,,O,X,Bharath,,,
Point>Setpoint>HVAC>VFD,Rated Speed Setpoint,,Maximum speed specified by manufacturer,,,O,X,Bharath,,,
Point>Setpoint>Thermal Energy Storage,Thermal Energy Storage Supply Water Differential Pressure Dead Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>Thermal Energy Storage,Thermal Energy Storage Supply Water Differential Pressure Integral Time Setpoint,,,,,,,Bharath,,,
Point>Setpoint>Thermal Energy Storage,Thermal Energy Storage Supply Water Differential Pressure Proportional Band Setpoint,,,,,,,Bharath,,,
Point>Setpoint>Water,Cooling Tower Fan Speed Setpoint,,,,,O,X,Jason,,,
Point>Setpoint>Water,Supply Water Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>Water>DHWS,Domestic Hot Water Supply Temperature Setpoint,,,,,,,Bharath,,,
Point>Setpoint>Water>Pump,Pump Alarm Delay Setpoint,,,,,,,,,,
Point>Status,Turn Off Status,,,,,,,Jason,,,
Point>Status>Energy>Demand Response,Chilled Water Differential Pressure Load Shed Status,Chilled Water Differential Pressure Load Shed Reset,,,,,,Bharath,,,
Point>Status>Energy>Demand Response,Load Shed Status,,,,,,,,,,
Point>Status>Energy>Demand Response,Medium Temperature Hot Water Differential Pressure Load Shed Status,Medium Temperature Hot Water Differential Pressure Load Shed Reset,,,,,,Bharath,,,
Point>Status>Energy>Demand Response,Medium Temperature Hot Water Supply Temperature Load Shed Status,,,,,,,Bharath,,,
Point>Status>Energy>Generator,Emergency Generator Status,,,,,,,Bharath,,,
Point>Status>Fume Hood,Emergency Air Flow Status,,Binary value indicating if emergency air flow is on/off,,,,,Bharath,,,
Point>Status>Fume Hood,Emergency Push Button Status,,,,,,,Bharath,,,
Point>Status>HVAC>AHU,AHU Overridden Off Status,,Indicates if the AHU has been manually overridden to be Off,,,,,Bharath,,,
Point>Status>HVAC>AHU,AHU Overridden Off Status,,Indicates if the AHU has been manually overridden to be On,,,,,Bharath,,,
Point>Status>HVAC>AHU,Economizer Mode Status,Economizer Status,virtual point used for controls,,,,,Marco,,,
Point>Status>HVAC>AHU,Fan Run Request Status,,Request from AHU for the fan to run,,,,,Bharath,,,
Point>Status>HVAC>AHU,Fan Start Stop Status,,,,,,,Jason,,,
Point>Status>HVAC>AHU,Filter Status,,,,,,,Bharath,,,
Point>Status>HVAC>AHU,Occupied Mode Status,,virtual point used for controls,,,,,Marco,,,
Point>Status>HVAC>AHU,Pre Filter Status,,Pre-filter filters large particles. Point indicates the if filter is dirty,,,,,Bharath,,,
Point>Status>HVAC>AHU,Return Fan Start Stop Status,Return Fan Status,,,,,,Bharath,,,
Point>Status>HVAC>AHU,Supply Fan Start Stop Status,Supply Fan Status,,,,,,Bharath,,,
Point>Status>HVAC>AHU,System Shutdown Status,,,,,,,,,,
Point>Status>HVAC>CRAC,Cooling On Off Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,CRAC Stages Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Dehumidification On Off Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,EconCycle On Off Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Emergency Power Off Activated By High Temperature Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Emergency Power Off Activated By Leak Detection System Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Emergency Power Off Enable Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Emergency Power Off System Enable Status,,,,,,,Jason,,,
Point>Status>HVAC>CRAC,Heating On Off Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Humidification On Off Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Humidifier Fault Status,,,,,,,,,,
Point>Status>HVAC>CRAC,Standby Fan Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Standby Glycool Unit On Off Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Standby Unit On Off Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,System Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Unit Hold Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Unit Run Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Unit Turned Off Locally Status,,,,,,,Bharath,,,
Point>Status>HVAC>CRAC,Unit Turned Off Remotely Status,,,,,,,Bharath,,,
Point>Status>HVAC>CWS>Pump,Chilled Water Pump Enable Status,,Allows the pump to be used. It is a sensor.,,,,,Bharath,,,
Point>Status>HVAC>CWS>Pump,Chilled Water Pump Lead Lag Status,,,,,,,,,,
Point>Status>HVAC>CWS>Pump,Chilled Water Pump Start Stop Status,Chilled Water Pump Status,,,,,,,,,
Point>Status>HVAC>Exhaust,Exhaust Fan Disable Status,,,,,,,Bharath,,,
Point>Status>HVAC>Exhaust,Exhaust Fan Overridden Off Status,,,,,,,Bharath,,,
Point>Status>HVAC>Exhaust,Exhaust Fan Overridden On Status,,,,,,,Bharath,,,
Point>Status>HVAC>Exhaust,Exhaust Fan Status,Exhaust Fan Start Stop Status,,,,,,Bharath,,,
Point>Status>HVAC>Fire Control Panel>Exhaust,AHU Off Status LED,,,,,,,,,,
Point>Status>HVAC>Fire Control Panel>Exhaust,AHU On Status LED,,,,,,,,,,
Point>Status>HVAC>Fire Control Panel>Exhaust,Exhaust Fan Off Status LED,,,,,,,,,,
Point>Status>HVAC>Fire Control Panel>Exhaust,Exhaust Fan On Status LED,,,,,,,,,,
Point>Status>HVAC>HWS>Heat Exchanger,Heat Exchanger System Enable Status,,,,,,,Bharath,,,
Point>Status>HVAC>HWS>Heat Exchanger,Heat Exchanger Valve Status,,Indicates if valve is being used or not. Important for multi-valve systems,,,,,Bharath,,,
Point>Status>HVAC>VAV,Temporary Occupancy Status,,Sensor that indicates the button on thermostat has been pressed on weekend/nights. Typically turns On HVAC for a set number of hours.,,,O,X,Jason,,,
Point>Status>HVAC>VFD,Drive Ready Status,,TBD,,,O,X,Bharath,,,
Point>Status>HVAC>VFD,Fault Status,Fault Indicator Status,,,,O,X,Bharath,,,
Point>Status>HVAC>VFD,Last Fault Code Status,,TBD,,,,,Bharath,,,
Point>Status>HVAC>VFD,Manual Auto Status,Hand Auto Status,Indicates if it is in manual or auto mode.,,,O,X,Bharath,,,
Point>Status>HVAC>VFD,Run Direction Status,Motor Direction Status,Status of VFD direction. Synonym,,,O,X,Bharath,,,
Point>Status>HVAC>VFD,Run Enable Status,,,,,,,Bharath,,,
Point>Status>HVAC>VFD,VFD Start Stop Status,"Motor Start Stop Status, VFD Run Status",,,,,,Bharath,,,
Point>Status>HVAC>VFD,VFD Voltage Sensor,,,,,,,,,,
Point>Status>Time,Even Month Status,,,,,,,Bharath,,,
Point>Status>Water,Freeze Status,,,,,O,X,Jason,,,
Point>Status>Water,Pump Status,Pump Start Stop Status,,,,,,,,,
Point>Status>Water>Pump,Pump Enable Status,,,,,,,,,,
Resource>HVAC>AHU,Mixed Air,,,,,,,Jason,,,
Resource>HVAC>AHU,Outside Air,,,,,,,Jason,,,
Resource>HVAC>AHU,Return Air,,,,,,,Jason,,,
Resource>HVAC>CWS,Chilled Water,,,,,,,Jason,,,
Resource>HVAC>HWS,Hot Water,,,,,,,Jason,,,
Resource>HVAC>HWS,Medium Temperature Hot Water,,,,,,,Jason,,,
Resource>HVAC>HWS,High Temperature Hot Water,,,,,,,Jason,,,
Resource>HVAC>VAV,Discharge Air,,,,,,,,,,
Resource>Water,Deionised Water,DI Water,Very pure water. Used in research labs,,,,,Bharath,,,
Resource>Water>DHWS,Domestic Hot Water,,,,,,,Jason,,,
