bas_raw,haystack
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8221 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Cooling %","ahu cooling coolingCapacity"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Heating %","heating"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Zone Temp","vav zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8223 Office Master/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8225 Office Slave/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8225 Office Slave/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8225 Office Slave/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8225 Office Slave/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8225 Office Slave/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8225 Office Slave/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8225 Office Slave/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8225 Office Slave/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8227 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Max CO2 Level","max co2"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8228 Project/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8229 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Run","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Run Request","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Schedule","cmd"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Eighth Floor/VAV Room 8231 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/FCU-10/Fan Coil CHW Vlv","fcu fan chilled water valve cmd"
"CMU/SCSC Gates/Fifth Floor/FCU-10/Fan Start","fan cmd"
"CMU/SCSC Gates/Fifth Floor/FCU-10/Fan Status","fan curstatus"
"CMU/SCSC Gates/Fifth Floor/FCU-10/FANCOIL ALARM","fcu alarm"
"CMU/SCSC Gates/Fifth Floor/FCU-10/FANCOIL HAND","fcu alarm"
"CMU/SCSC Gates/Fifth Floor/FCU-10/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/FCU-10/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/FCU-10/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/FCU-10/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/FCU-10/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5100/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 Central/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5200 South/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 North/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Corridor 5300 West/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Max CO2 Level","max co2"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5000 Study Carrell Lobby/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5001 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5003 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5005 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Run","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Run Request","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Schedule","cmd"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5007 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Fifth Floor/VAV Room 5009 Kitchenette/Airflow Request","air flow cmd"
